"","banner heading","banner subheading","overview heading","overview body","brochure link","project highlights","key features (body)","bhk configuration","price","towers","floors","project status","location","rera number","development size","amenities","possession date","location advantages","our awards","faqs","hero image/ video","walkthrough/ virtual tour/ video","amenities images/ icons","floor plan/master plan","floor plan/master plan","interior/ exterior images","construction pdf","construction videos","","","","testimonials","","","","bannar"
"blubelle","purva blubelle ","magadi road, rajajinagar  | 3 bhk residences | 2.33 cr.* onwards","experience the epitome of refined living at purva blubelle","soar beyond the ordinary at purva blubelle, an urban sanctuary where luxury meets tranquillity. spread across 3.85 acres, this architectural marvel presents 3 bhk apartments for sale in magadi road, bangalore, offering a lifestyle that blends modernity with serenity. rising 31/32 storeys high, these residences are designed to embrace openness, with 80% open spaces and 17 lush gardens that provide a breath of fresh air amidst the city’s hustle.  life at purva blubelle is an indulgence, featuring 50+ world-class amenities, including a sprawling 8,000 sq. ft. clubhouse, 22 nature-inspired experiences, and 11 outdoor sports zones, ensuring that even weekdays feel like weekends. thoughtfully planned for convenience, comfort, and community, these apartments for sale in bangalore offer an elevated lifestyle infused with sophistication and nature’s tranquility.  here, every moment is crafted to be effortlessly extraordinary, making purva blubelle not just a home, but a statement of refined living.","","key features","purva blubelle is a ‘u-rated’ haven where sophistication, privacy, and comfort converge. thoughtfully designed to offer exclusivity at every turn, it features vibrant kids’ zones, tranquil wellness parks, and modern co-working spaces—ensuring every age finds its sanctuary. here, life isn’t simply lived. it’s seamlessly curated for the discerning few.","3 bhk","₹ 2.28 cr onwards*","2","g+31/32","ongoing","magadi road, rajajinagar ,bengaluru","prm/ka/rera/1251/310/pr/290323/005829","3.85 acres approx.","outdoor •        17 themed gardens •        sound sculpture •        outdoor gym •        swimming pool •        cricket practice pitch •        multipurpose court •        senior citizen court  •        yoga space  •        jogging track •        kids play area •        half-basketball court  •        skating rink  indoor •        8000 sq. ft. clubhouse •        co-working spaces •        multipurpose hall  •        indoor games room  •        cards room  •        foosball ","30-06-2028","transportation magadi road metro station – 1 min majestic railway station – 15 mins mg road – 20 mins kempegowda international airport – 60 mins educational institutions gurukula international school – 2 mins sophia high school – 10 mins bishop cotton boys’ school – 15 mins the brigade school – 15 mins healthcare gayathri hospital – 5 mins manipal northside hospital – 10 mins mallige hospital – 15 mins fortis hospital – 15 mins business & commercial hubs world trade center – 15 mins peenya industrial area – 20 mins ub city – 20 mins bidadi industrial hub – 40 mins retail, shopping & entertainment gt world mall – 2 mins lulu hypermarket – 5 mins orion mall – 15 mins esteem mall – 20 mins culture & green spaces lalbagh botanical garden – 20 mins cubbon park – 20 mins","luxury project of the year et achievers 2024","https://docs.google.com/document/d/1xhnkvnu-qmibyxp314b5bzx6n8uh63nytj6ddorgxh0/edit?usp=drive_link","","https://www.youtube.com/watch?v=uglccodcfqu https://youtu.be/nfjfevwpj3o?si=84n20kd0jxncy29c ","","configuration type 3 bhk l type 1  super built-up area 1434 sq.ft. onwards*  price ₹ 2.28 cr* onwards  configuration type 3 bhk r type 2  super built-up area 1631 sq.ft. onwards*  price ₹ 2.57 cr* onwards","links","954*550","https://www.puravankara.com/backend/assets/uploads/projects/construction_images/purva%20blubelle-jan25-1738585468.pdf","https://www.youtube.com/watch?v=td3gutiak78","https://www.youtube.com/watch?v=zbmm_mdp_rw","https://www.youtube.com/watch?v=yu0sco8lr5m","https://www.youtube.com/watch?v=ps5cvt2pise","https://youtu.be/7opdukye6dg?si=nzcesbuikslz3x8h","","","",""
"parkhill","purva parkhill","off kanakapura road| 3 bhk residences | 2.12 cr.* onwards","purva park hill inspires life on a large-hearted stage","discover life on a grand canvas at purva park hill, where lush landscapes and expansive balconies redefine everyday living. nestled across 15 serene acres off kanakapura road, a rapidly developing corridor in south bengaluru, this sanctuary offers 80% open spaces and 40+ world-class amenities designed to enrich your mind, body, and soul. you may be looking for a 3 bhk flat for sale in kanakapura road. or your dream might be bigger: elegant spacious flats in kanakapura road that also feature big balconies and thoughtful amenities. either way, purva park hill delivers the perfect balance of comfort and convenience. just minutes from nice road and jp nagar metro, the location offers seamless connectivity to south bengaluru’s finest schools, cultural landmarks, and vibrant commercial hubs. offering well-planned 3 bhk in bangalore, these homes are designed to ensure that space isn’t just a luxury, but a way of life, providing you with an elevated living experience that goes beyond the ordinary.","https://www.puravankara.com/backend/assets/uploads/projects/brochure/parkhill%20brochure%20final-1726058778.pdf","key features","purva park hill is designed for those who seek elegance and space. tri-deck homes offer seamless indoor-outdoor living, while a grand clubhouse, an expansive pool, and a 1 km jogging track elevate leisure. yoga zones, a squash court, and lush greenery create islands of joy in your day. with curated experiences at every turn, life here unfolds in perfect harmony.","3 bhk","₹  2.12 cr onwards*","4","g+20","ongoing","off kanakapura road, bengaluru","prm/ka/rera/1251/310/pr/220601/004946/47/48/49","15 acres approx.","indoor amenities: gymnasium cards room salon squash court billiards table library fitness studio tuition rooms meeting rooms wfh stations  outdoor amenities: tennis court basketball post cricket practice pitch tree house yoga deck putting golf archery senior citizen court beach volleyball skating rink amphitheatre","31-12-2027","transportation: vajarahalli metro station – 2 mins  nice road junction – 5 mins  banashankari bus terminal – 10 mins  jp nagar – 15 mins  kr market – 20 mins  kempegowda international airport – 60 mins  educational institutions: rms international school – 3 mins  jnana sweekar public school – 5 mins  kumarans school – 10 mins  jain university (cms) – 10 mins  dayananda sagar institutions – 15 mins  iim bangalore – 20 mins  healthcare: sagar hospitals – 10 mins  apollo speciality hospital, jp nagar – 15 mins  bgs gleneagles global hospital – 20 mins  fortis hospital, bannerghatta – 25 mins  business & commercial hubs: global village tech park – 15 mins  jp nagar business district – 15 mins  electronic city – 35 mins  cbd (mg road) – 35 mins  retail, shopping & entertainment: d-mart, kanakapura road – 2 mins  gopalan arcade mall – 10 mins  vega city mall – 15 mins  royal meenakshi mall – 20 mins  metro cash & carry – 10 mins  culture & green spaces: turahalli forest viewpoint – 5 mins  lalbagh botanical garden – 35 mins  art of living international centre – 30 mins  bannerghatta biological park – 35 mins  ","1. best architectural design economic times business excellence 2022-24  2. best architectural design economic times business excellence 2022-23","https://docs.google.com/document/d/1xhnkvnu-qmibyxp314b5bzx6n8uh63nytj6ddorgxh0/edit?usp=drive_link","","https://www.youtube.com/watch?v=p2g5ww2zdmi","","configuration type 3 bhk  super built-up area 1748 - 1938 sq.ft.  price ₹ 2.12 cr* onwards","links","954*550","","https://www.youtube.com/watch?v=ldt_ihgfdru","https://www.youtube.com/watch?v=zeaioepbug8","https://www.youtube.com/watch?v=sb50uimlenq","https://www.youtube.com/watch?v=zwqbujees0e","https://www.youtube.com/watch?v=bstpguhi19y","https://www.youtube.com/watch?v=n62wmtimmde","https://www.youtube.com/watch?v=fcfrodyi5-q","https://www.youtube.com/watch?v=vtrp849pale",""
"celestial","purva celestial"," international airport road| 2 bhk residences | 1.24 cr.* onwards","a perfect combination of modern technology and nature","  step into the future at purva celestial, a sanctuary of smart living that redefines modern lifestyles. located in the thriving airport corridor, this premium residential project offers a unique find: 2 bhk flats in bangalore that elegantly blend luxury, technology, nature, and convenience. just 20 minutes from the international airport, these 2 bhk apartments for sale in bangalore are designed with blunex technology, enabling seamless, voice-controlled smart home features for effortless living.  nestled within a sprawling 150-acre integrated township, purva celestial provides a serene escape amidst lush tropical landscapes and an oxygenated clubhouse, promoting a healthier lifestyle. the project boasts world-class amenities, ensuring residents experience comfort and leisure at every step. with top schools, shopping malls, and hospitals in close proximity, residents enjoy unmatched convenience without compromising on luxury.  whether you're looking for a modern home or a smart investment, purva celestial offers the perfect blend of connectivity, innovation, and exclusivity, making it a home truly built for tomorrow.","","key features","purva celestial curates a new-age lifestyle blending nature, technology & sustainability. a world of 25+ premium amenities awaits. the multipurpose games court, a fully equipped gymnasium, and the kids’ play area redefine leisure while the landscaped gardens, the pool, and the amphitheatre redefine community life. with 24/7 security and seamless urban access, every detail is designed for effortless comfort.","2 bhk","₹ 1.24 cr onwards*","4","g + 13","ongoing","international airport road, bengaluru","prm/ka/rera/1251/309/pr/071022/005303","10 acres","outdoor  •        amphitheatre  •        kids play area  •        swimming pool  •        gardens •        yoga and meditation lawn  •        cricket pitch  •        basketball court  •        tennis court   •        multipurpose court •        sky garden  •        mini forest   indoor  •        creche  •        cards room  •        gymnasium  •        squash court ","30-06-2027","transportation  kempegowda international airport – 10 mins  airport road metro station – 15 mins  yelahanka railway station – 20 mins  hebbal – 25 mins  educational institutions  canadian international school – 15 mins  stonehill international school – 20 mins  vidyashilp academy – 20 mins  ryan international school – 25 mins  healthcare  aster cmi hospital – 20 mins  columbia asia hospital hebbal – 25 mins  cloudnine hospital – 30 mins  manipal hospital – 35 mins  business & commercial hubs  manyata tech park – 30 mins  kirloskar business park – 25 mins  kiadb aerospace park – 10 mins  shell technology centre – 15 mins  retail, shopping & entertainment  rmz galleria mall – 25 mins  decathlon sports india – 20 mins  elements mall – 30 mins  lulu value mart – 10 mins  culture & green spaces  nandi hills – 40 mins  lumbini gardens – 30 mins  hebbal lake – 25 mins","0","https://docs.google.com/document/d/1xhnkvnu-qmibyxp314b5bzx6n8uh63nytj6ddorgxh0/edit?usp=drive_link","","https://www.youtube.com/watch?v=rgf5pwq2zim","","configuration type 2 bhk  super built-up area 1034 - 1052 sq.ft.  price ₹ 1.24 cr* onwards  ","links","954*550","https://www.puravankara.com/backend/assets/uploads/projects/construction_images/purva%20celestial-jan25-1738660794.pdf","https://www.youtube.com/watch?v=cloeaaish28","https://www.youtube.com/watch?v=rshp3tjkubm","https://www.youtube.com/watch?v=gcewtbb_7ca","https://www.youtube.com/watch?v=9pe5yx2wfga","https://www.youtube.com/watch?v=zdn0kqlpphq","https://www.youtube.com/watch?v=7ngx_tefvne","https://www.youtube.com/watch?v=83yausgchjy","https://www.youtube.com/watch?v=rdoex6x-pfg",""
"meraki","purva meraki","on hsr layout| 3 bhk residences | 4.15 cr.* onwards","ultra-luxury residences with rooftop amenities in hsr layout","purva meraki is a rare architectural masterpiece, meticulously crafted for the discerning 1% who seek exclusivity and grandeur. nestled in the heart of hsr layout, a coveted neighbourhood, these ultra-luxury apartments in bangalore redefine elegance with their sophisticated design, world-class amenities, and unmatched privileges. offering a seamless blend of heritage charm and modern dynamism, purva meraki is a testament to fine living.  strategically located, these luxury apartments in bangalore for sale provide effortless connectivity to outer ring road, electronic city, and koramangala, ensuring a lifestyle of convenience and prestige. surrounded by lush parks, elite social hotspots, and premium commercial centers, hsr layout is where the high-tech city meets refined, tranquil living. for those who desire an extraordinary life, purva meraki is more than just a home—it is an exclusive statement of sophistication and class.","https://www.puravankara.com/backend/assets/uploads/projects/brochure/meraki%20brochure%20final-1726058760.pdf","key features","limited to just 44 ultra-spacious residences, purva meraki is private yet connected, intimate yet expansive. sunlit interiors, exquisite materials like brick, glass, and wood, and sprawling private balconies blend luxury and nature. landscaped greens offer tranquil escapes, while cutting-edge amenities elevate life. in an upscale area, experience a home that is as rare as it is refined.","3 bhk","₹ 4.15 cr onwards*","1","2b+g+8","ongoing","hsr layout, bengaluru","prm/ka/rera/1251/310/pr/071022/005307","1 acres approx","indoor amenities: banquet area water feature outdoor gym  outdoor amenities: acupressure walk social seating area kids play area sunset view deck yoga area elevated seating outdoor table tennis hammock area floor games art & crafts zone party lawn infinity pool skywalk ","31-10-2027","transportation hsr bda complex – 2 mins  outer ring road – 2 mins  silk board junction – 5 mins  hsr 24th main road – 5 mins  koramangala – 10 mins  mg road – 25 mins  kempegowda international airport – 60 mins  educational institutions nift bangalore – 3 mins  narayana techno school – 5 mins  national public school, hsr – 5 mins  cambridge public school – 10 mins  dps east – 15 mins  christ university – 20 mins  new horizon college – 20 mins  healthcare greenview medical center – 2 mins  motherhood hospital, sarjapur – 10 mins  sakra world hospital – 15 mins  st. john's hospital – 15 mins  manipal hospital, hal – 20 mins  business & commercial hubs rmz ecoworld / rmz ecopark – 15 mins  embassy tech village – 15 mins  koramangala startup hub – 10 mins  electronic city – 25 mins  mg road cbd – 25 mins  retail, shopping & entertainment hsr bda complex market – 2 mins  forum mall, koramangala – 10 mins  total mall – 5 mins  phoenix marketcity – 25 mins  central mall, bellandur – 15 mins  culture & green spaces hsr club & park – 3 mins  agara lake – 10 mins  kudlu lake – 10 mins  kaikondrahalli lake – 15 mins  lalbagh botanical garden – 30 mins  ","luxury project of the year et achievers 2024","https://docs.google.com/document/d/1xhnkvnu-qmibyxp314b5bzx6n8uh63nytj6ddorgxh0/edit?usp=drive_link","","","","configuration type 3 bhk  super built-up area 2519 - 2770 sq.ft.  price ₹ 4.15 cr* onwards","links","954*550","https://www.puravankara.com/backend/assets/uploads/projects/construction_images/meraki-jan25-1738818401.pdf","https://www.youtube.com/watch?v=ceyr6xbairc","https://www.youtube.com/watch?v=kpb7ri2jcne","https://www.youtube.com/watch?v=niyol1byws8","https://www.youtube.com/watch?v=-z_r7ay55mi","https://www.youtube.com/watch?v=5l2sddlaqmk","","","",""
"sparkling springs","purva sparkling springs","off bannerghatta road | 3 bhk residences | 4.80 cr.* onwards","purva sparkling springs - premium villas on bannerghatta road","step into a world where nature and luxury exist in perfect harmony. purva sparkling springs at the sound of water is a breathtaking villa retreat, offering an unparalleled living experience amidst nature’s finest elements. anchored around bangalore’s largest man-made waterfall, this exclusive enclave redefines serenity with tranquil water fountains, lush green landscapes, and a towering buddha statue that brings an instant sense of calm.  designed for those who seek peace without compromising on indulgence, these villas for sale in bangalore come with world-class wellness and leisure experiences. whether it's unwinding by the pristine water bodies, enjoying a meditative stroll through landscaped gardens, or immersing yourself in the vibrant community spaces, every moment here flows effortlessly between relaxation and refinement.  set in one of the city’s most coveted locations, these villas in bangalore offer seamless connectivity to top it hubs, educational institutions, and lifestyle destinations, making them the perfect choice for luxury living.","","key features","spread across 20 acres of pristine greens, sparkling springs at the sound of water offers exquisite 3 & 4 bhk villas with breathtaking water-inspired design. a 12,000 sq. ft. clubhouse, an infinity pool, and state-of-the-art sports and wellness zones ensure a lifestyle of balance and beauty. seamlessly connected to jigani, nice junction, and electronic city, this is where urban convenience blends with a relaxed and enriching way of life.","3 bhk","₹ 4.80 cr onwards*","na","na","ongoing","off bannerghatta road, bengaluru","prm/ka/rera/1251/310/pr/210907/004300","20 acres approx.","outdoor •        temple of body & mind  •        basketball post •        man made waterfall  •        infinity pool  •        garden of five senses •        kids play area  •        multipurpose court  •        cricket practice net  •        yoga & meditation lawns  •        jogging track   indoor  •        12,000 sq. ft clubhouse •        gymnasium  •        steam, sauna & spa  •        table tennis  •        jamming room  ","28-02-2025","transportation  jayadeva hospital metro station – 15 mins  bangalore city railway station – 30 mins  mg road – 20 mins  kempegowda international airport – 60 mins  educational institutions  iim bangalore – 5 mins  ryan international school – 10 mins  bgs national public school – 10 mins  vibgyor high school – 15 mins  healthcare  fortis hospital – 10 mins  apollo hospitals bannerghatta – 10 mins  jayadeva hospital – 15 mins  narayana health city – 20 mins  business & commercial hubs  kalyani magnum it tech park – 10 mins  electronic city – 25 mins  global village tech park – 30 mins  hsbc software development india – 15 mins  retail, shopping & entertainment  royal meenakshi mall – 5 mins  gopalan innovation mall – 15 mins  vega city mall – 10 mins  decathlon bannerghatta – 5 mins  culture & green spaces  bannerghatta national park – 20 mins  lalbagh botanical garden – 20 mins  turahalli forest – 30 mins","premium villa project of the year economic times achievers 2023","https://docs.google.com/document/d/1xhnkvnu-qmibyxp314b5bzx6n8uh63nytj6ddorgxh0/edit?usp=drive_link","","https://www.youtube.com/watch?v=g7olkrhexda","","configuration type 3 bhk  super built-up area 3,335 - 4,477 sq.ft.  price ₹ 4.80 cr* onwards","","954*550","https://www.puravankara.com/backend/assets/uploads/projects/construction_images/sparkling%20springs-jan25-1738923911.pdf","https://www.youtube.com/watch?v=gbvu6qdv1ri","https://www.youtube.com/watch?v=1ueaw-5bts8","https://www.youtube.com/watch?v=ssc3wvhu7ze","https://www.youtube.com/watch?v=gvofl3nx_pw","https://www.youtube.com/watch?v=zstz78auw_g","","","",""
"symphony","purva symphony","off bannerghatta road | 3 bed residential villas  | 4.80 cr.* onwards","purva symphony : stillness. freedom. connection. embrace life's real luxuries.","when nature’s rhythms meet limitless living, you get purva symphony, the pinnacle of independent mansions at the sound of water. this exquisite enclave of luxury villas in bangalore is spread across 20 acres of serenity. nestled in charming south bengaluru, the property features the city's largest man-made waterfall, a stunning aqua clubhouse, and an exclusive community. verdant landscapes, and peaceful water fountains create an atmosphere of effortless elegance and tranquility.  at purva symphony, every detail embodies grace—expansive living spaces, contemporary design, and nature-inspired luxury come together in perfect harmony. offering beautiful villas for sale in bangalore, this masterpiece is seamlessly connected to key hubs, ensuring the best of urban convenience while embracing nature’s calm. with world-class leisure and wellness experiences, life here is an immersive symphony of grandeur and peace, where each day flows with effortless luxury and refined living.","","key features","purva symphony presents luxury 3 & 4 bhk villas designed for a tranquil and refined lifestyle. ample green spaces, vibrant sports courts, and inviting wellness zones create an atmosphere of serenity and privacy. thoughtfully located on bannerghatta road, with seamless connectivity to jigani, nice junction, and electronic city, it offers a sanctuary that feels worlds away—yet close to everything that matters.","3 bhk","₹ 4.80 cr onwards*","","","ongoing","off bannerghatta road, bengaluru","prm/ka/rera/1251/310/pr/210907/004300","20 acres approx.","outdoor •        temple of body & mind  •        basketball post •        man made waterfall  •        infinity pool  •        garden of five senses •        kids play area  •        multipurpose court  •        cricket practice net  •        yoga & meditation lawns  •        jogging track   indoor  •        12,000 sq. ft clubhouse •        gymnasium  •        steam, sauna & spa  •        table tennis  •        jamming room  ","30-06-2026","transportation  jayadeva hospital metro station – 15 mins  bangalore city railway station – 30 mins  mg road – 20 mins  kempegowda international airport – 60 mins  educational institutions  iim bangalore – 5 mins  ryan international school – 10 mins  bgs national public school – 10 mins  vibgyor high school – 15 mins  healthcare  fortis hospital – 10 mins  apollo hospitals bannerghatta – 10 mins  jayadeva hospital – 15 mins  narayana health city – 20 mins  business & commercial hubs  kalyani magnum it tech park – 10 mins  electronic city – 25 mins  global village tech park – 30 mins  hsbc software development india – 15 mins  retail, shopping & entertainment  royal meenakshi mall – 5 mins  gopalan innovation mall – 15 mins  vega city mall – 10 mins  decathlon bannerghatta – 5 mins  culture & green spaces  bannerghatta national park – 20 mins  lalbagh botanical garden – 20 mins  turahalli forest – 30 mins","premium villa project of the year economic times achievers 2023","https://docs.google.com/document/d/1xhnkvnu-qmibyxp314b5bzx6n8uh63nytj6ddorgxh0/edit?usp=drive_link","","https://www.youtube.com/watch?v=g7olkrhexda / https://www.youtube.com/watch?v=z6j4d1aze-w","","configuration type 3 bhk  super built-up area 3,335 - 4,477 sq.ft.  price ₹ 4.80 cr* onwards","","954*550","https://www.puravankara.com/backend/assets/uploads/projects/construction_images/sparkling%20springs-jan25-1738923911.pdf","https://www.youtube.com/watch?v=gbvu6qdv1ri","https://www.youtube.com/watch?v=1ueaw-5bts8","https://www.youtube.com/watch?v=ssc3wvhu7ze","https://www.youtube.com/watch?v=gvofl3nx_pw","https://www.youtube.com/watch?v=zstz78auw_g","","","",""
"marina one","marina one","marine drive | 3, 3.5 & 4 bhk residences | 2.55 cr.* onwards","marina one: an epitome of waterfront luxury in kochi","this is where the sea meets sophistication. marina one is an inspired waterfront address, redefining luxury in the heart of kochi. with a breathtaking view of the arabian sea, this landmark development blends exquisite architecture with an exclusive lifestyle. located in the famed marine drive area, it is connected to premium shopping, renowned educational centres, and the city’s finest dining & leisure hubs. here, every sunrise paints a masterpiece, and every sunset is an invitation to savour life’s finest moments.","https://www.puravankara.com/backend/assets/uploads/projects/brochure/f227f31228fae2ffea011f66fd169a1a.pdf","key features","blending expansive 3 & 4 bhk residences with panoramic sea views, marine one is a high-rise marvel. its signature c-shaped design maximizes sea views, while its 45+ world-class amenities include a 5-acre urban oasis and a 50m infinity pool. nestled beside mangalavanam bird sanctuary, this masterpiece by puravankara & sobha offers a rare blend of nature, exclusivity, and impeccable craftsmanship.","3 , 3.5 & 4 bhk","₹ 2.55 cr onwards*","12","28","ongoing","gida road - queens way, marine drive, kochi","phase 1: k-rera/prj/251/2020 | phase 2: k-rera/prj/252/2020 | phase 3: k-rera/prj/253/2020 ","16.7 acres approx.","indoor amenities: clubhouse private lounge private dining room multi-purpose room gymnasium lap pool aquatic gym pool prayer room sauna  outdoor amenities: landscaped garden pool deck jacuzzi family pool children's pool party zone outdoor fitness area children's play area teppanyaki terrace bbq terrace putting green water feature landscaped at green heart","30-06-2025","transportation marine drive walkway – 1 min  high court metro station – 5 mins  ernakulam north railway station – 10 mins  ernakulam south railway station – 15 mins  vyttila mobility hub – 20 mins  cochin international airport – 45 mins  educational institutions the delta study – 5 mins  st. teresa’s college – 5 mins  maharaja’s college – 10 mins  bhavan’s vidya mandir, elamakkara – 15 mins  chinmaya vidyalaya, vaduthala – 20 mins  rajagiri school of engineering & technology – 30 mins  healthcare lourdes hospital – 10 mins  aster medcity – 15 mins  amrita hospital – 20 mins  medical trust hospital – 20 mins  lisie hospital – 10 mins  business & commercial hubs mg road (cbd) – 5 mins infopark, kakkanad – 35 mins  cochin shipyard – 15 mins  vyttila mobility hub business district – 20 mins  kalamassery industrial area – 30 mins  retail, shopping & entertainment centre square mall – 5 mins  lulu mall – 20 mins  bay pride mall – 2 mins  oberon mall – 25 mins  broadway market – 10 mins  culture & green spaces subhash park – 5 mins  mangalavanam bird sanctuary – 10 mins  kochi biennale venues (fort kochi) – 30 mins  cherai beach – 45 mins  bolgatty palace & island – 15 mins ","","https://docs.google.com/document/d/1xhnkvnu-qmibyxp314b5bzx6n8uh63nytj6ddorgxh0/edit?usp=drive_link","","https://www.youtube.com/watch?v=yh-cj3vtdcy","","configuration type 3 bhk  super built-up area 2317 - 2595 sq.ft.  price ₹ 2.55 cr* onwards  configuration type 3.5 bhk  super built-up area 2317 - 2595 sq.ft.  price ₹ 2.55 cr* onwards  configuration type 4 bhk  super built-up area 2930 - 3710 sq.ft.  price ₹ 3.67 cr* onwards","","954*550","","","","","","","","","",""
"windermere","purva windermere","near medavakkam| 1 , 2 , 3b + 2t & 3b + 3t residences | ₹ 52.00 l onwards*","purva windermere - urban luxury living in medavakkam, chennai","urban luxury has a new standard. designed for those who seek more than just a home, this vibrant world thoughtfully blends leisure, nature, and wellness. from enjoying squash and billiards to day-dreaming in lush gardens to courting stillness in dedicated yoga spaces, every moment elevates life. set in the fast-growing neighbourhood of medavakkam, these elegantly crafted 1, 2, & 3 bhk residences include spacious interiors, modern kitchens, and generous balconies. holistic living in chennai doesn’t get better than this. ","","key features","purva windermere is a 55-acre retreat where adventure and serenity converge. with 76% open spaces, two state-of-the-art clubhouses, and 40+ lifestyle amenities, it nurtures a thriving community. home to over 2,000 delighted families, it also offers essentials like a supermarket, a health clinic, and access to an upcoming metro station. here, happiness is a habit and convenience is effortless.  ","1, 2 & 3 bhk","₹ 52.00 l onwards*","21","s + 12","ongoing","near medavakkam, chennai","tn/29/building/0008/2023 | tn/29/building/0009/2023 | tn/29/building/0010/2023","55 acres approx.","indoor amenities: locker + restrooms crèche indoor games multipurpose hall swimming pool billiards room unisex salon entertainment centre jamming room cards room  outdoor amenities: aerobics / yoga room table tennis gymnasium health club squash court association room tennis court half basketball court children's play area","31-12-2026","transportation velachery railway station – 15 mins  perungudi mrts – 20 mins  tambaram railway station – 25 mins  chennai international airport – 30 mins  medavakkam main road – 5 mins  omr (old mahabalipuram road) – 15 mins  educational institutions ravindra bharathi global school – 5 mins  san academy – 5 mins  narayana e-techno school – 10 mins  hlc international – 15 mins  dav public school, velachery – 20 mins  bharath university – 20 mins  sathyabama institute of science and technology – 25 mins  healthcare dr. kamakshi memorial hospital – 10 mins  global hospital, perumbakkam – 15 mins  apollo cradle, karapakkam – 20 mins  gleneagles global health city – 20 mins  sri balaji hospital – 25 mins  business & commercial hubs elcot sez, sholinganallur – 20 mins  sp infocity – 20 mins  tidel park – 30 mins  sipcot it park, siruseri – 35 mins  guindy industrial estate – 30 mins  retail, shopping & entertainment reliance trends & smart – 5 mins  phoenix marketcity – 20 mins  grand square mall – 20 mins  marina mall – 25 mins  express avenue mall – 35 mins  culture & green spaces pallikaranai marshland – 5 mins  nanmangalam forest reserve – 15 mins  besant nagar beach – 35 mins  theosophical society gardens – 30 mins  mylapore kapaleeshwarar temple – 40 mins  ","","https://docs.google.com/document/d/1xhnkvnu-qmibyxp314b5bzx6n8uh63nytj6ddorgxh0/edit?usp=drive_link","","https://www.youtube.com/watch?v=gnklpn-nuac","","configuration type 1 bhk  super built-up area 614 - 625 sq.ft.  price ₹ 52.00 l* onwards  configuration type 2 bhk  super built-up area 902 - 915 sq.ft.  price ₹ 75.00 l* onwards  configuration type 3 bhk+2t  super built-up area 1169 - 1204 sq.ft.  price ₹ 1.11 cr* onwards  configuration type 3 bhk+3t  super built-up area 1438 - 1490 sq.ft.  price ₹ 1.23 cr* onwards","","954*550","https://www.puravankara.com/backend/assets/uploads/projects/construction_images/purva%20lakevista-jan25-1739275000.pdf","https://www.youtube.com/watch?v=fydnix2voxg","https://www.youtube.com/watch?v=aex9-yevd2c","https://www.youtube.com/watch?v=yyavopl1zm4","https://www.youtube.com/watch?v=pdfqlw7ihrg","","","","",""
